KBA Entity ID	Entity Name	Freebase MID	Entity Type
https://kb.diffeo.com/A._J._Rathbun	 A. J. Rathbun	/m/04f__1b	 PER
https://kb.diffeo.com/Aaron_Yeung	 Aaron Yeung	NIL	 PER
https://kb.diffeo.com/Abbotsford_Arts_Centre	 Abbotsford Arts Centre	NIL	 FAC
https://kb.diffeo.com/Allison_Campbell	 Allison Campbell	NIL	 PER
https://kb.diffeo.com/Andy_Billig	 Andy Billig	/m/0k8x5xc	 PER
https://kb.diffeo.com/Andy_Clausen	 Andy Clausen	/m/0c38w6f	 PER
https://kb.diffeo.com/Anne_Blair	 Anne Blair	/m/0105391p	 PER
https://kb.diffeo.com/BNSF_Railway	 BNSF Railway	/m/03qvv1	 ORG
https://kb.diffeo.com/Brock_Schuh	 Brock Schuh	NIL	 PER
https://kb.diffeo.com/Brodie_Clowes	 Brodie Clowes	NIL	 PER
https://kb.diffeo.com/Bryan_Raiser	 Bryan Raiser	NIL	 PER
https://kb.diffeo.com/Bryce_Leavitt	 Bryce Leavitt	/m/0w6mw79	 PER
https://kb.diffeo.com/Cameron_Ward	 Cameron Ward	NIL	 PER
https://kb.diffeo.com/Candace_Pratt	 Candace Pratt	/m/0101flnq	 PER
https://kb.diffeo.com/Captain_Wiggette	 Captain Wiggette	NIL	 PER
https://kb.diffeo.com/Carmela_Dellino	 Carmela Dellino	NIL	 PER
https://kb.diffeo.com/Chad_Kroeger	 Chad  Kroeger	/m/0150m1	 PER
https://kb.diffeo.com/Chris_Boyd	 Chris Boyd	NIL	 PER
https://kb.diffeo.com/Corisa_Bell	 Corisa Bell	NIL	 PER
https://kb.diffeo.com/Damien_Jurado	 Damien Jurado	/m/01mvhpl	 PER
https://kb.diffeo.com/Dan_Satterberg	 Dan Satterberg	/m/05mrys9	 PER
https://kb.diffeo.com/Doug_Race	 Doug Race	NIL	 PER
https://kb.diffeo.com/Dow_Constantine	 Dow Constantine	/m/03hn40k	 PER
https://kb.diffeo.com/Elmer_Derrick	 Elmer Derrick	NIL	 PER
https://kb.diffeo.com/First_Nations_Summit	 First Nations Summit	/m/04cxynd	 ORG
https://kb.diffeo.com/Genaveve_Starr	 Genaveve Starr	NIL	 PER
https://kb.diffeo.com/Georgie_Bright_Kunkel	 Georgie Bright Kunkel	NIL	 PER
https://kb.diffeo.com/Ian_Kent	 Ian Kent	NIL	 PER
https://kb.diffeo.com/IslandWood	 IslandWood	/m/03cy5x5	 FAC
https://kb.diffeo.com/J._Tillman	 J._Tillman	/m/04jnlr0	 PER
https://kb.diffeo.com/Jacob_Hoggard	 Jacob  Hoggard	/m/03ybg2	 PER
https://kb.diffeo.com/James_Windle	 James Windle	NIL	 PER
https://kb.diffeo.com/Jamie_Lawson	 Jamie Lawson	NIL	 PER
https://kb.diffeo.com/Jean_Luc_Bilodeau	 Jean-Luc Bilodeau	/m/0fn8cd	 PER
https://kb.diffeo.com/Jeff_Mangum	 Jeff Mangum	/m/01x0vc	 PER
https://kb.diffeo.com/Jesse_Sykes	 Jesse Sykes	/m/0d6n0r	 PER
https://kb.diffeo.com/Jessie_Kaech	 Jessie Kaech	NIL	 PER
https://kb.diffeo.com/Jim_Busey	 Jim Busey	NIL	 PER
https://kb.diffeo.com/Joby_Shimomura	 Joby Shimomura	NIL	 PER
https://kb.diffeo.com/Jonathan_Meline	 Jonathan Meline	NIL	 PER
https://kb.diffeo.com/Josh_Vander_Vies	 Josh Vander Vies	NIL	 PER
https://kb.diffeo.com/Jud_Virden	 Jud Virden	NIL	 PER
https://kb.diffeo.com/Kalispel_Tribe	 Kalispel Tribe	/m/03lnh1	 ORG
https://kb.diffeo.com/Karen_Guzak	 Karen Guzak	NIL	 PER
https://kb.diffeo.com/Karen_Pohl	 Karen Pohl	NIL	 PER
https://kb.diffeo.com/Katzie_First_Nation	 Katzie First Nation	/m/028257q	 ORG
https://kb.diffeo.com/Kendra_Obom	 Kendra Obom	NIL	 PER
https://kb.diffeo.com/Kerry_Morris	 Kerry Morris	NIL	 PER
https://kb.diffeo.com/King_Cat_Theater	 King Cat Theater	NIL	 FAC
https://kb.diffeo.com/Kshama_Sawant	 Kshama Sawant	/m/0kbh3pz	 PER
https://kb.diffeo.com/Lake_Sammamish_Elks_Lodge	 Lake Sammamish Elks Lodge	NIL	 FAC
https://kb.diffeo.com/Leona_Aglukkaq	 Leona Aglukkaq	/m/0c80gk	 PER
https://kb.diffeo.com/Lisa_Brown	 Lisa Brown	/m/0cyfvq	 PER
https://kb.diffeo.com/Lisa_McCullough	 Lisa McCullough	NIL	 PER
https://kb.diffeo.com/Lisa_Muri	 Lisa Muri	NIL	 PER
https://kb.diffeo.com/Lizette_Graden	 Lizette Graden	NIL	 PER
https://kb.diffeo.com/Maelle_Ricker	 Maelle Ricker	/m/0bjq4q	 PER
https://kb.diffeo.com/Mark_Lindquist	 Mark Lindquist	/m/08wyht	 PER
https://kb.diffeo.com/Marty_McLaren	 Marty McLaren	NIL	 PER
https://kb.diffeo.com/Mason_Wilgosh	 Mason Wilgosh	NIL	 PER
https://kb.diffeo.com/Matheson_Farms	 Matheson_Farms	NIL	 ORG
https://kb.diffeo.com/matt_manweller	 matt manweller	/m/0pc59kd	 PER
https://kb.diffeo.com/Michael_K_Young	 Michael K. Young	/m/0f0nz8	 PER
https://kb.diffeo.com/Mike_Kluse	 Mike Kluse	NIL	 PER
https://kb.diffeo.com/Missing_Women_Commission_of_Inquiry	 Missing Women Commission of Inquiry	NIL	 ORG
https://kb.diffeo.com/Muckleshoot_Indian_Tribe	 Muckleshoot Indian Tribe	/m/09wwf	 ORG
https://kb.diffeo.com/Nancy_Wilhelm_Morden	 Nancy Wilhelm-Morden	NIL	 PER
https://kb.diffeo.com/Nathaniel_Jones	 Nathaniel Jones	NIL	 PER
https://kb.diffeo.com/Nez_Perse	 Nez Perce	/m/059v8	 ORG
https://kb.diffeo.com/Nolan_Watson	 Nolan Watson	/m/0ch1b85	 PER
https://kb.diffeo.com/Nordic_Heritage_Museum	 Nordic Heritage Museum	/m/03t00j	 ORG
https://kb.diffeo.com/Patricia_Heintzman	 Patricia Heintzman	NIL	 PER
https://kb.diffeo.com/Paul_Brandt	 Paul Brandt	/m/01lz834	 PER
https://kb.diffeo.com/Paul_Watson	 Paul Watson	/m/01t5nn	 PER
https://kb.diffeo.com/Peter_Goldmark	 Peter Goldmark	/m/096hwv	 PER
https://kb.diffeo.com/Phil_Wandscher	 Phil Wandscher	/m/01vtq6h	 PER
https://kb.diffeo.com/Philippe_Cury	 Philippe Cury	NIL	 PER
https://kb.diffeo.com/Ralph_Dannenberg	 Ralph Dannenberg	NIL	 PER
https://kb.diffeo.com/Randy_Dorn	 Randy Dorn	NIL	 PER
https://kb.diffeo.com/Rashid_Sumaila	 Rashid Sumaila	/m/05pbf_h	 PER
https://kb.diffeo.com/Rick_Hansen	 Rick Hansen	NIL	 PER
https://kb.diffeo.com/Rob_Kirkham	 Rob Kirkham	NIL	 PER
https://kb.diffeo.com/Robyn_Gervais	 Robyn Gervais	NIL	 PER
https://kb.diffeo.com/Ron_Sander	 Ron Sander	NIL	 PER
https://kb.diffeo.com/Rose_Egge	 Rose Egge	NIL	 PER
https://kb.diffeo.com/Semiahmoo_First_Nation	 Semiahmoo First Nation	/m/02rrdvn	 ORG
https://kb.diffeo.com/Shawn_Atleo	 Shawn Atleo	/m/04gkm02	 PER
https://kb.diffeo.com/Shelley_Redinger	 Shelley Redinger	NIL	 PER
https://kb.diffeo.com/Shelli_Park	 Shelli Park	NIL	 PER
https://kb.diffeo.com/Snohomish_High_School	 Snohomish High School	/m/0bsdrj	 ORG
https://kb.diffeo.com/Spokane_Convention_Center	 Spokane Convention Center	/m/027nxs8	 FAC
https://kb.diffeo.com/Spokane_County_Raceway	 Spokane County Raceway	NIL	 FAC
https://kb.diffeo.com/Spokane_Tribe	 Spokane Tribe	/m/06v0_r	 ORG
https://kb.diffeo.com/Stephen_Buxbaum	 Stephen Buxbaum	/m/0101r3r4	 PER
https://kb.diffeo.com/Sun_Villa_Lanes	 Sun Villa Lanes	NIL	 FAC
https://kb.diffeo.com/Susan_Chapelle	 Susan Chapelle	NIL	 PER
https://kb.diffeo.com/Ted_Prior	 Ted Prior	NIL	 PER
https://kb.diffeo.com/Ted_Sturdevant	 Ted Sturdevant	NIL	 PER
https://kb.diffeo.com/Theresa_Spence	 Theresa Spence	/m/0pcm3w4	 PER
https://kb.diffeo.com/Tsawwassen_First_Nation	 Tsawwassen First Nation	/m/02qq0fx	 ORG
https://kb.diffeo.com/Tsleil-Waututh_First_Nation	 Tsleil-Waututh First Nation	/m/08klxg	 ORG
https://kb.diffeo.com/Tulalip	 Tulalip	/m/01tr8p	 ORG
https://kb.diffeo.com/Val_Tollefson	 Val Tollefson	NIL	 PER
https://kb.diffeo.com/William_Azaroff	 William Azaroff	/m/05bfxds	 PER
https://kb.diffeo.com/Women_Winemakers	 Women Winemakers	NIL	 ORG
https://kb.diffeo.com/_3NIbfDpEdTwZ	 Shelli Park	NIL	 PER
https://kb.diffeo.com/_Bill_Templeton	 'Bill Templeton'	NIL	 PER
https://kb.diffeo.com/_Dave_Rosin	 'Dave Rosin'	/m/0h4txlx	 PER
https://kb.diffeo.com/_Nicholas_Tse	 'Nicholas Tse'	/m/02wk4d	 PER
